region,district,area,table,row,column,value,row_no
nt,p,p03,5,a78_<,e77_both,169.0,78
nt,p,p03,5,a80_2000,e77_both,500.0,80
nt,p,p03,5,a82_4000,e77_both,434.0,82
nt,p,p03,5,a84_6000,e77_both,885.0,84
nt,p,p03,5,a86_8000,e77_both,1219.0,86
nt,p,p03,5,a88_10000,e77_both,2009.0,88
nt,p,p03,5,a90_15000,e77_both,1349.0,90
nt,p,p03,5,a92_20000,e77_both,719.0,92
nt,p,p03,5,a94_25000,e77_both,268.0,94
nt,p,p03,5,a96_30000,e77_both,394.0,96
nt,p,p03,5,a98_40000,e77_both,86.0,98
nt,p,p03,5,a100_>=,e77_both,149.0,100
