region,district,area,table,row,column,value,row_no
nt,s,s01,5,a78_<,e77_both,139.0,78
nt,s,s01,5,a80_2000,e77_both,689.0,80
nt,s,s01,5,a82_4000,e77_both,609.0,82
nt,s,s01,5,a84_6000,e77_both,1390.0,84
nt,s,s01,5,a86_8000,e77_both,1578.0,86
nt,s,s01,5,a88_10000,e77_both,2751.0,88
nt,s,s01,5,a90_15000,e77_both,1171.0,90
nt,s,s01,5,a92_20000,e77_both,535.0,92
nt,s,s01,5,a94_25000,e77_both,193.0,94
nt,s,s01,5,a96_30000,e77_both,261.0,96
nt,s,s01,5,a98_40000,e77_both,154.0,98
nt,s,s01,5,a100_>=,e77_both,30.0,100
